dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
esc50,clap,class_threshold,mahalanobis,40,10,0,"{0: -96.36734008789062, 1: -70.96942138671875, 2: -128.56912231445312, 6: -87.77291870117188, 7: -114.70025634765625, 8: -94.14627075195312, 9: -68.76016235351562, 10: -110.92222595214844, 11: -104.53471374511719, 13: -122.39051818847656, 14: -125.97903442382812, 17: -78.6409683227539, 18: -78.2874755859375, 19: -98.32786560058594, 20: -121.13831329345703, 21: -104.61409719062574, 22: -115.46929931640625, 23: -132.66510009765625, 24: -86.52545166015625, 26: -132.92166137695312, 27: -90.14312744140625, 28: -93.22369384765625, 29: -140.23606872558594, 31: -104.41092681884766, 32: -140.19546508789062, 33: -154.76077270507812, 34: -109.03665924072266, 35: -147.05873716720427, 36: -113.85479736328125, 37: -115.513916015625, 38: -119.32562255859375, 39: -131.17434692382812, 41: -111.43216705322266, 42: -119.57685852050781, 43: -126.87701416015625, 44: -131.70684814453125, 45: -92.12957763671875, 46: -86.09597778320312, 47: -137.68038940429688, 49: -93.67848205566406}",0.90625,0.85,0.9747265624999999,0.8974218749999997
esc50,clap,class_threshold,mahalanobis,30,20,0,"{0: -97.07568359375, 1: -70.39813232421875, 2: -131.36119079589844, 6: -88.15402221679688, 7: -114.40350341796875, 8: -92.73897552490234, 10: -111.74189758300781, 13: -121.24330139160156, 17: -84.67564392089844, 19: -98.99417114257812, 20: -117.9990234375, 21: -106.2272212095935, 22: -119.062744140625, 23: -133.01336669921875, 24: -90.0189208984375, 26: -131.00881958007812, 27: -95.3129653930664, 29: -139.45863342285156, 31: -106.52072143554688, 33: -151.83184814453125, 34: -107.5087890625, 36: -126.90130615234375, 37: -114.05674743652344, 38: -117.7109375, 39: -130.5498809814453, 41: -110.6733627319336, 43: -126.60698699951172, 44: -131.1737060546875, 46: -87.0788803100586, 47: -143.31036376953125}",0.8958333333333334,0.91875,0.983984375,0.8913411458333336
esc50,clap,class_threshold,mahalanobis,20,30,0,"{0: -97.09965515136719, 2: -126.7550048828125, 6: -88.49649810791016, 7: -121.59609985351562, 10: -112.04731750488281, 17: -82.44393920898438, 21: -118.76708984375, 22: -104.27264404296875, 24: -100.36616516113281, 26: -119.19694519042969, 29: -130.9888916015625, 31: -109.12958526611328, 33: -143.3594207763672, 34: -99.50630187988281, 36: -121.61737823486328, 37: -110.36473846435547, 38: -112.79295349121094, 39: -126.2396469116211, 44: -143.23727416992188, 46: -83.28611755371094}",0.8375,0.9708333333333333,0.9843489583333334,0.8339453125000001
esc50,clap,class_threshold,mahalanobis,15,35,0,"{2: -122.97016906738281, 6: -90.65528869628906, 7: -117.30364990234375, 10: -110.00885009765625, 17: -78.817626953125, 21: -127.96153259277344, 22: -103.27455139160156, 24: -99.76791381835938, 29: -126.77490234375, 31: -101.78695678710938, 33: -135.8703155517578, 34: -96.1952133178711, 37: -107.72664642333984, 39: -124.23661041259766, 44: -141.04483032226562}",0.8333333333333334,0.9964285714285714,0.9903869047619048,0.8318154761904762
esc50,clap,class_threshold,mahalanobis,10,40,0,"{6: -88.1374282836914, 7: -102.93611145019531, 10: -107.65980529785156, 17: -75.21798706054688, 21: -119.27053833007812, 29: -115.3970947265625, 33: -117.53829956054688, 37: -99.52130126953125, 39: -114.04344940185547, 44: -122.203369140625}",0.8375,0.99375,0.9932421875,0.8364257812500001
esc50,clap,class_threshold,linear,40,10,0,"{0: 0.9904392957687378, 1: 0.9654790163040161, 2: 0.9866892695426941, 6: 0.9733047485351562, 7: 0.9877728819847107, 8: 0.9932645559310913, 9: 0.9923527836799622, 10: 0.9797682166099548, 11: 0.9835669994354248, 13: 0.9735487103462219, 14: 0.9765507578849792, 17: 0.9758318662643433, 18: 0.988500714302063, 19: 0.9888685941696167, 20: 0.9840309619903564, 21: 0.9342128038406372, 22: 0.9957389831542969, 23: 0.9756869673728943, 24: 0.9534692168235779, 26: 0.988311231136322, 27: 0.994149923324585, 28: 0.9791725873947144, 29: 0.9765002727508545, 31: 0.9698711037635803, 32: 0.9728431701660156, 33: 0.982631266117096, 34: 0.9859517812728882, 35: 0.9280317425727844, 36: 0.9757741093635559, 37: 0.9846238493919373, 38: 0.9831008911132812, 39: 0.9907367825508118, 41: 0.9798348546028137, 42: 0.9868916869163513, 43: 0.9677643775939941, 44: 0.9495133757591248, 45: 0.9909313917160034, 46: 0.9937340617179871, 47: 0.964927613735199, 49: 0.9783723950386047}",0.865625,0.9875,0.978046875,0.8602539062499996
esc50,clap,class_threshold,linear,30,20,0,"{0: 0.9908349514007568, 1: 0.9752998948097229, 2: 0.986630380153656, 6: 0.976287305355072, 7: 0.9899784326553345, 8: 0.9924322366714478, 10: 0.9825901389122009, 13: 0.9886410236358643, 17: 0.9797552824020386, 19: 0.988247811794281, 20: 0.986710250377655, 21: 0.9346745610237122, 22: 0.9952705502510071, 23: 0.9825246930122375, 24: 0.9497619271278381, 26: 0.9895662069320679, 27: 0.9921802282333374, 29: 0.9773312211036682, 31: 0.984952986240387, 33: 0.9881397485733032, 34: 0.9899240136146545, 36: 0.985663890838623, 37: 0.9859350919723511, 38: 0.9833352565765381, 39: 0.9947040677070618, 41: 0.9743766188621521, 43: 0.9840190410614014, 44: 0.9438052177429199, 46: 0.9947633743286133, 47: 0.9686357975006104}",0.8833333333333333,0.975,0.9720572916666667,0.87609375
esc50,clap,class_threshold,linear,20,30,0,"{0: 0.992267906665802, 2: 0.9892085194587708, 6: 0.9884845614433289, 7: 0.9943852424621582, 10: 0.9882513880729675, 17: 0.979889988899231, 21: 0.9480522274971008, 22: 0.9957095384597778, 24: 0.9639606475830078, 26: 0.9919840693473816, 29: 0.9773514866828918, 31: 0.9848071336746216, 33: 0.9884811639785767, 34: 0.9908062815666199, 36: 0.988036036491394, 37: 0.9864696264266968, 38: 0.9847071766853333, 39: 0.9956192374229431, 44: 0.989626407623291, 46: 0.9940091371536255}",0.85,0.95,0.968359375,0.842578125
esc50,clap,class_threshold,linear,15,35,0,"{2: 0.9891332983970642, 6: 0.9944536089897156, 7: 0.9949581027030945, 10: 0.9899017810821533, 17: 0.9799482822418213, 21: 0.9468196630477905, 22: 0.9969804883003235, 24: 0.9642440676689148, 29: 0.9776759147644043, 31: 0.9834448099136353, 33: 0.9883282780647278, 34: 0.9861389994621277, 37: 0.9917603135108948, 39: 0.996759831905365, 44: 0.9950029253959656}",0.8833333333333333,0.9785714285714285,0.9725,0.8789880952380952
esc50,clap,class_threshold,linear,10,40,0,"{6: 0.9954997897148132, 7: 0.9956036806106567, 10: 0.9914798736572266, 17: 0.9844887256622314, 21: 0.9952797889709473, 29: 0.9850897789001465, 33: 0.9922631978988647, 37: 0.9959445595741272, 39: 0.9977136850357056, 44: 0.9940876960754395}",0.9625,0.975,0.994375,0.9595507812499999
